ip	port	asn_desc
1.0.205.87	8080	TOT-NET TOT Public Company Limited
1.1.189.58	8080	TOT-NET TOT Public Company Limited
1.1.220.63	8080	TOT-NET TOT Public Company Limited
1.10.141.115	8080	TOT-NET TOT Public Company Limited
1.179.144.41	8080	TOT-LLI-AS-AP TOT Public Company Limited
1.179.147.5	52210	TOT-LLI-AS-AP TOT Public Company Limited
1.179.148.33	1080	TOT-LLI-AS-AP TOT Public Company Limited
1.179.148.9	36476	TOT-LLI-AS-AP TOT Public Company Limited
1.179.148.9	55636	TOT-LLI-AS-AP TOT Public Company Limited
1.179.151.165	31948	TOT-LLI-AS-AP TOT Public Company Limited
1.179.199.130	33333	TOT-LLI-AS-AP TOT Public Company Limited
1.20.225.123	8080	TOT-NET TOT Public Company Limited
1.20.254.32	4153	TOT-NET TOT Public Company Limited
1.231.81.166	3128	SKB-AS SK Broadband Co Ltd
1.231.81.166	3129	SKB-AS SK Broadband Co Ltd
1.4.214.178	8080	TOT-NET TOT Public Company Limited
1.52.214.217	1080	FPT-AS-AP FPT Telecom Company
101.109.245.200	4153	TOT-NET TOT Public Company Limited
101.109.49.161	8080	TOT-NET TOT Public Company Limited
101.109.61.30	8080	TOT-NET TOT Public Company Limited
101.109.76.109	4145	TOT-NET TOT Public Company Limited
101.51.121.29	4153	TOT-NET TOT Public Company Limited
102.223.88.29	8080	ZAINUGAS
103.111.225.93	1090	PLUSNETINC-AS-AP Plusnet Inc
103.111.227.217	1080	PLUSNETINC-AS-AP Plusnet Inc
103.119.60.219	1080	MYREPUBLIC-AS-ID PT. Eka Mas Republik
103.120.175.243	9191	MYREPUBLIC-AS-ID PT. Eka Mas Republik
103.121.23.205	8080	MYREPUBLIC-AS-ID PT. Eka Mas Republik
103.125.36.120	8080	MYREPUBLIC-AS-ID PT. Eka Mas Republik
103.150.64.69	8090	WSCL-AS-AP Windstream Communication Limited
103.151.74.29	2025	ORANGE2-AS-AP Orange Communication
103.151.74.5	2025	ORANGE2-AS-AP Orange Communication
103.151.75.21	2025	ORANGE2-AS-AP Orange Communication
103.156.140.150	8181	IDNIC-PLAYONE-AS-ID PT Tekling Media Telematika
103.166.184.104	9191	VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
103.171.161.96	9090	MYREPUBLIC-AS-ID PT. Eka Mas Republik
103.171.92.242	9050	VNPT-AS-VN VNPT Corp
103.179.189.64	9191	VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
103.191.218.119	69	IDNIC-REPLAY-AS-ID PT Replay Inti Media
103.191.218.53	1111	IDNIC-REPLAY-AS-ID PT Replay Inti Media
103.200.22.28	1080	VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
103.214.201.209	80	ORANGE2-AS-AP Orange Communication
103.214.201.209	8080	ORANGE2-AS-AP Orange Communication
103.233.152.18	8080	BIZNET-AS-AP BIZNET NETWORKS
103.29.61.243	4153	TELECABLE-AS-BD Telecable Bangladesh
103.74.11.69	8081	ORANGE2-AS-AP Orange Communication
103.82.20.76	8080	VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
103.82.22.155	55142	VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
103.9.124.50	8080	ORANGE-ISP-AS-ID PT Global Teknologi Teraindo
106.12.114.122	59166	BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd.
106.13.4.250	9000	BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd.
109.202.0.25	1080	AVANTEL-AS
109.202.9.125	1080	AVANTEL-BARNAUL-AS BARNAUL, Russia
110.77.135.70	4145	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
110.77.145.159	4145	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
110.77.149.50	5678	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
110.77.180.182	80	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
110.78.148.57	4145	CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
112.198.179.17	8082	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
112.198.179.67	8080	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
112.198.200.44	8082	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
112.198.22.122	80	GLOBE-TELECOM-AS Globe Telecoms
112.78.131.91	8080	BIZNET-AS-AP BIZNET NETWORKS
112.78.138.164	5678	BIZNET-AS-AP BIZNET NETWORKS
112.78.146.244	8080	BIZNET2-AS-ID Biznet ISP
112.78.168.122	8080	BIZNET-AS-AP BIZNET NETWORKS
113.11.183.201	4145	BIZNET-AS-AP BIZNET NETWORKS
113.160.130.183	8080	VNPT-AS-VN VNPT Corp
113.160.188.21	1080	VNPT-AS-VN VNPT Corp
113.160.208.169	19132	VNPT-AS-VN VNPT Corp
113.160.214.209	19132	VNPT-AS-VN VNPT Corp
113.160.234.147	57921	VNPT-AS-VN VNPT Corp
113.160.241.196	19132	VNPT-AS-VN VNPT Corp
113.161.134.128	1080	VNPT-AS-VN VNPT Corp
113.161.145.229	4153	VNPT-AS-VN VNPT Corp
113.161.59.136	8080	VNPT-AS-VN VNPT Corp
113.161.6.170	1080	VNPT-AS-VN VNPT Corp
113.161.93.6	8080	VNPT-AS-VN VNPT Corp
113.166.93.239	5678	VNPT-AS-VN VNPT Corp
113.167.83.98	1080	VNPT-AS-VN VNPT Corp
113.176.118.150	1080	VNPT-AS-VN VNPT Corp
113.176.118.231	9812	VNPT-AS-VN VNPT Corp
113.176.92.71	3129	VNPT-AS-VN VNPT Corp
113.22.221.35	20000	FPT-AS-AP FPT Telecom Company
113.22.24.247	30001	FPT-AS-AP FPT Telecom Company
113.53.29.228	13629	TOT-NET TOT Public Company Limited
113.53.91.26	4153	TOT-NET TOT Public Company Limited
115.21.99.135	4145	KIXS-AS-KR Korea Telecom
115.74.200.4	1080	VIETEL-AS-AP Viettel Group
115.74.7.224	8080	VIETEL-AS-AP Viettel Group
115.79.236.172	5002	VIETEL-AS-AP Viettel Group
115.96.208.124	8080	HATHWAY-NET-AP Hathway IP Over Cable Internet
116.100.193.198	8080	VIETTEL-AS-VN Viettel Corporation
116.101.1.175	1062	VIETEL-AS-AP Viettel Group
116.101.1.175	1080	VIETEL-AS-AP Viettel Group
116.101.1.175	1081	VIETEL-AS-AP Viettel Group
116.101.1.175	1083	VIETEL-AS-AP Viettel Group
116.101.1.175	1084	VIETEL-AS-AP Viettel Group
116.101.1.175	1111	VIETEL-AS-AP Viettel Group
116.101.1.175	1117	VIETEL-AS-AP Viettel Group
116.101.7.126	1066	VIETEL-AS-AP Viettel Group
116.104.41.109	5000	VIETEL-AS-AP Viettel Group
117.102.70.43	8080	BIZNET2-AS-ID Biznet ISP
117.102.75.238	8080	BIZNET-AS-AP BIZNET NETWORKS
117.102.81.3	53281	BIZNET-AS-AP BIZNET NETWORKS
117.102.81.5	53281	BIZNET-AS-AP BIZNET NETWORKS
117.198.221.34	4153	BSNL-NIB National Internet Backbone
117.202.20.70	1088	BSNL-NIB National Internet Backbone
117.236.124.166	3128	BSNL-NIB National Internet Backbone
117.244.114.54	1080	BSNL-NIB National Internet Backbone
117.244.114.54	1081	BSNL-NIB National Internet Backbone
117.251.103.186	8080	BSNL-NIB National Internet Backbone
117.4.107.199	51796	VIETEL-AS-AP Viettel Group
117.4.115.169	8080	VIETEL-AS-AP Viettel Group
117.4.26.246	1080	VIETEL-AS-AP Viettel Group
117.4.26.246	1081	VIETEL-AS-AP Viettel Group
117.4.50.142	32650	VIETEL-AS-AP Viettel Group
118.172.47.97	51327	TOT-NET TOT Public Company Limited
118.173.230.149	1080	TOT-NET TOT Public Company Limited
118.174.209.75	4145	TOT-NET TOT Public Company Limited
118.174.47.182	4145	TOT-LLI-AS-AP TOT Public Company Limited
118.174.53.136	8080	TOT-NET TOT Public Company Limited
118.174.65.27	8080	TOT-NET TOT Public Company Limited
118.69.134.153	20000	FPT-AS-AP FPT Telecom Company
118.69.32.171	20000	FPT-AS-AP FPT Telecom Company
118.70.131.249	1080	FPT-AS-AP FPT Telecom Company
118.70.151.55	1080	FPT-AS-AP FPT Telecom Company
118.70.211.121	60606	FPT-AS-AP FPT Telecom Company
118.70.82.27	1083	FPT-AS-AP FPT Telecom Company
118.71.99.233	5678	FPT-AS-AP FPT Telecom Company
118.99.111.209	3127	BIZNET-AS-AP BIZNET NETWORKS
118.99.68.214	8080	BIZNET-AS-AP BIZNET NETWORKS
118.99.84.159	8888	BIZNET-AS-AP BIZNET NETWORKS
118.99.96.173	8080	BIZNET-AS-AP BIZNET NETWORKS
118.99.98.125	8080	BIZNET-AS-AP BIZNET NETWORKS
119.46.2.245	4145	TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd.
120.28.139.232	8080	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
120.28.194.248	8282	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
120.28.216.197	8082	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
120.28.70.72	8082	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
120.28.82.207	8082	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
121.139.218.165	31409	KIXS-AS-KR Korea Telecom
121.139.218.165	43295	KIXS-AS-KR Korea Telecom
121.169.46.116	1090	KIXS-AS-KR Korea Telecom
122.129.84.12	8080	BRAINPK-AS-AP Brain Telecommunication Ltd.
122.175.58.131	80	AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services
123.16.15.41	1452	VNPT-AS-VN VNPT Corp
123.16.32.162	8080	VNPT-AS-VN VNPT Corp
123.25.116.228	1080	VNPT-AS-VN VNPT Corp
123.25.15.209	9812	VNPT-AS-VN VNPT Corp
123.253.137.3	8080	CONVERGE-AS Converge ICT Solutions Inc.
123.31.12.184	45255	VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
124.6.141.83	8082	GLOBE-TELECOM-AS Globe Telecoms
124.6.152.122	8080	GLOBE-TELECOM-AS Globe Telecoms
125.141.133.49	5566	KIXS-AS-KR Korea Telecom
125.141.133.98	5566	KIXS-AS-KR Korea Telecom
125.141.139.110	5566	KIXS-AS-KR Korea Telecom
125.141.139.112	5566	KIXS-AS-KR Korea Telecom
125.141.139.198	5566	KIXS-AS-KR Korea Telecom
125.141.139.55	5566	KIXS-AS-KR Korea Telecom
125.20.31.66	8080	BBIL-AP BHARTI Airtel Ltd.
125.24.156.113	7080	TOT-NET TOT Public Company Limited
125.25.238.126	8080	TOT-NET TOT Public Company Limited
125.25.32.131	8080	TOT-NET TOT Public Company Limited
125.25.32.228	8080	TOT-NET TOT Public Company Limited
125.25.33.141	8080	TOT-NET TOT Public Company Limited
125.25.40.41	32650	TOT-NET TOT Public Company Limited
125.25.43.202	8080	TOT-NET TOT Public Company Limited
125.25.57.57	4153	TOT-NET TOT Public Company Limited
125.26.165.245	8080	TOT-NET TOT Public Company Limited
138.117.77.213	999	MARANDU COMUNICACIONES SOCIEDAD DEL ESTADO
